Time,Total_Energy
0,319.3747791
0.1,319.0713663
0.3,319.0272801
0.7,318.9398111
1.5,318.729473
3.1,318.0804254
6.3,314.2860536
7.9,309.529853
8.7,305.9074983
10.3,295.4824178
11.1,288.4398512
12.7,270.891106
13.5,260.6901767
15.1,240.6746772
15.9,232.1097941
17.5,220.3025118
18.3,216.6659535
19.9,212.0141278
20.7,210.3847745
22.3,207.6599551
23.1,206.4263598
24.7,204.060494
27.9,199.4392493
29.5,197.0844323
30.3,195.8790165
31.9,193.4075943
32.7,192.1606881
34.3,189.712359
35.1,188.503009
36.7,186.0774074
37.5,184.8462184
39.1,182.3202993
39.9,181.0311468
41.5,178.4640567
42.3,177.1852751
43.9,174.6786062
44.7,173.4824269
46.3,171.2545609
47.1,170.2077648
48.7,168.2090676
51.9,164.4735044
53.5,162.6939496
56.7,159.3086596
58.3,157.7421762
59.1,156.9953886
60.7,155.5655043
63.9,152.9144911
65.5,151.673564
68.7,149.3454697
70.3,148.2538089
73.5,146.2162788
75.1,145.2666951
78.3,143.5034581
79.9,142.6855877
83.1,141.1710044
84.7,140.4694844
87.9,139.1687116
89.5,138.564547
92.7,137.438121
94.3,136.9111104
97.5,135.9195787
99.1,135.4513444
102.3,134.5628655
103.9,134.1398897
107.1,133.335888
108.7,132.9549917
111.9,132.2353907
113.5,131.894956
116.7,131.2480918
123.1,130.0653311
126.3,129.517827
132.7,128.4905475
135.9,128.0050204
142.3,127.0804785
145.5,126.6383825
151.9,125.789452
155.1,125.3807873
161.5,124.5921656
164.7,124.2110086
171.1,123.4731994
174.3,123.1156787
180.7,122.42215
183.9,122.0854556
190.3,121.4312322
193.5,121.1131253
199.9,120.4941011
203.1,120.1926791
209.5,119.6052949
212.7,119.3188843
219.1,118.7599832
222.3,118.4870921
228.7,117.9538534
231.9,117.6931481
238.3,117.1830529
241.5,116.9333444
247.9,116.4441522
251.1,116.2043856
257.5,115.7341141
260.7,115.5033589
267.1,115.0502648
279.9,114.1756454
286.3,113.7525247
299.1,112.9328357
305.5,112.535037
318.3,111.7621781
324.7,111.386157
337.5,110.6538958
343.9,110.2968786
356.7,109.6002518
363.1,109.2599878
375.9,108.5948929
382.3,108.2694933
395.1,107.6324336
401.5,107.3202682
414.3,106.708184
420.7,106.4078072
433.5,105.8179382
439.9,105.5280196
452.7,104.9577574
459.1,104.6769965
471.9,104.1236561
478.3,103.8506129
491.1,103.3107567
497.5,103.0431196
510.3,102.5059338
516.7,102.2232576
519.9,102.065154
526.3,101.6970041
529.5,101.5028766
531.1,101.4071335
534.3,101.2164878
540.7,100.8100774
543.9,100.5945281
545.5,100.4885597
548.7,100.2818218
550.3,100.180261
553.5,99.97743399
559.9,99.55419285
563.1,99.33837013
564.7,99.23304538
567.9,99.02861118
569.5,98.92921554
572.7,98.73557527
579.1,98.36611677
582.3,98.18884965
588.7,97.84713551
591.9,97.68184728
598.3,97.36089584
601.5,97.20461622
607.9,96.899272
611.1,96.74975505
617.5,96.45617726
620.7,96.31179868
627.1,96.02729646
630.3,95.88695913
636.7,95.60978419
639.9,95.47280847
646.3,95.20193017
649.5,95.06793624
655.9,94.80278544
659.1,94.67155083
665.5,94.41170071
668.7,94.28298332
675.1,94.02776771
678.3,93.90110187
684.7,93.64917436
687.9,93.52361959
694.3,93.27228338
697.5,93.14592519
703.9,92.8892121
707.1,92.75723833
713.5,92.47407269
716.7,92.30968982
718.3,92.21257262
721.5,91.97857195
723.1,91.86445741
723.9,91.81441824
725.5,91.72632594
728.7,91.58209175
735.1,91.35895299
747.9,91.00079332
754.3,90.83458136
767.1,90.50989499
773.5,90.35028561
786.3,90.03544288
792.7,89.87990587
805.5,89.57209005
811.9,89.41959485
824.7,89.11707014
831.1,88.96687272
843.9,88.66834512
850.3,88.51987874
863.1,88.22434347
869.5,88.07715934
882.3,87.78380399
888.7,87.63753123
901.5,87.34566888
907.9,87.19998627
920.7,86.90900697
927.1,86.76362178
939.9,86.47295485
946.3,86.32758574
959.1,86.03666762
965.5,85.8910291
978.3,85.59927202
984.7,85.45305817
997.5,85.15981481
1003.9,85.01267955
1016.7,84.71719695
1023.1,84.56872662
1035.9,84.2700784
1042.3,84.11974944
1055.1,83.81672569
1061.5,83.66383261
1074.3,83.35474274
1080.7,83.19826289
1093.5,82.88054174
1099.9,82.71884829
1112.7,82.3881441
1119.1,82.21828125
1131.9,81.86580284
1138.3,81.68104946
1151.1,81.28158188
1157.5,81.05614893
1160.7,80.93085346
1162.3,80.86307931
1165.5,80.70958852
1167.1,80.61831332
1170.3,80.37081913
1171.9,80.21117334
1172.7,80.13218753
1174.3,79.99498672
1175.1,79.93686698
1176.7,79.83724096
1179.9,79.68130082
1186.3,79.45747343
1199.1,79.15281732
1205.5,79.03031768
1218.3,78.80414396
1224.7,78.69530766
1237.5,78.48063478
1243.9,78.37410923
1256.7,78.16204323
1263.1,78.05639505
1275.9,77.84583819
1282.3,77.74089374
1295.1,77.53171861
1301.5,77.42746227
1314.3,77.21966983
1320.7,77.11611021
1333.5,76.90972502
1339.9,76.80687674
1352.7,76.60193054
1359.1,76.49981034
1371.9,76.29633719
1378.3,76.19496218
1391.1,75.99299559
1397.5,75.892382
1410.3,75.69195269
1416.7,75.59211483
1429.5,75.39324877
1435.9,75.29419812
1448.7,75.09691472
1455.1,74.99865909
1467.9,74.80296956
1474.3,74.70551221
1487.1,74.5114179
1493.5,74.41475675
1506.3,74.22224728
1512.7,74.12637385
1525.5,73.93542478
1531.9,73.84032276
1544.7,73.65089201
1551.1,73.55653504
1563.9,73.3685567
1570.3,73.27490412
1583.1,73.08827642
1589.5,72.99526468
1602.3,72.80982378
1608.7,72.71734667
1621.5,72.53280165
1627.9,72.44065733
1640.7,72.25639283
1647.1,72.16410163
1659.9,71.97831762
1666.3,71.88410657
1679.1,71.68345722
1685.5,71.55316508
1688.7,71.45501156
1690.3,71.39268778
1691.1,71.35915687
1692.7,71.29034529
1693.5,71.25574124
1695.1,71.18751711
1698.3,71.05690396
1699.9,70.99438139
1703.1,70.87452066
1709.5,70.65163647
1712.7,70.54662143
1719.1,70.34723424
1722.3,70.25203013
1728.7,70.06953579
